question,doc_id,chunk_id
What type of protocol is Avitus described as?,a88e0ac9,a88e0ac9_0
What unique feature does Avitus offer regarding asset utilization for trading?,a88e0ac9,a88e0ac9_0
Where can users test the features of Avitus?,a88e0ac9,a88e0ac9_0
What is the link to the Avitus Twitter account?,df283f30,df283f30_0
Where can I find the Avitus Brand Kit?,df283f30,df283f30_0
How can I join the Avitus Community Program?,df283f30,df283f30_0
What is the name of the initiative associated with Avitus?,f116f83a,f116f83a_0
How does Avitus propose to influence markets?,f116f83a,f116f83a_0
What is the website associated with movement labs mentioned in the document?,f116f83a,f116f83a_0
"What role is responsible for handling tech, VMs, and scaling processes at Avitus?",7b7b96bb,7b7b96bb_0
Who are the individuals responsible for marketing and community initiatives within Avitus?,7b7b96bb,7b7b96bb_0
What is the role of the community caretakers in the Avitus team structure?,7b7b96bb,7b7b96bb_0
What title is given to individuals who complete all on-chain tasks within the Avitus community?,a6dcb620,a6dcb620_0
Which community role is specifically reserved for those who create original memes for Avitus?,a6dcb620,a6dcb620_0
What role is automatically granted to individuals who boost the server in the Avitus community?,a6dcb620,a6dcb620_0
What is the requirement to reach Level 5 in the Avitus community?,9523ec58,9523ec58_0
How can a user reach Level 10 within the Avitus interaction roles?,9523ec58,9523ec58_0
What specific interaction is needed to achieve Level 20 in the Avitus community?,9523ec58,9523ec58_0
What achievement is granted after reacting to 30 messages?,bf144bb6,bf144bb6_0
How many messages must a user react to in order to receive the Reactive role for the first time?,bf144bb6,bf144bb6_0
What is the total number of reactions needed to achieve the highest level of Reactive role?,bf144bb6,bf144bb6_0
What happens when you invite three members to the Avitus Discord server?,c6939cbd,c6939cbd_0
How many members do you need to invite to unlock recognition at the five-member level?,c6939cbd,c6939cbd_0
What is the maximum number of members you can invite to receive recognition according to the document?,c6939cbd,c6939cbd_0
What type of content can be found in the #community-news channel?,94e6076f,94e6076f_0
What is the primary purpose of the #galxe-help-desk channel?,94e6076f,94e6076f_0
What kind of activity is encouraged in the #meme-movers channel?,94e6076f,94e6076f_0
What was the amount raised in Movement Labs' Series A funding round?,d3226301,d3226301_0
What is the primary focus of Movement Labs in terms of geographic expansion?,d3226301,d3226301_0
What type of technology is Movement Labs developing for Ethereum?,d3226301,d3226301_0
What are the author’s views on the relationship between the community and insiders as presented in the article?,06a1c4cf,06a1c4cf_0
"What type of content does the article cover, based on the provided document?",06a1c4cf,06a1c4cf_0
Does the document indicate any responsibility or liability for errors of fact or omission?,06a1c4cf,06a1c4cf_0
What is an Actively Validated Service (AVS) and what are its key components according to the EigenLayer documentation?,5fc9a318,5fc9a318_0
How do operators register with the EigenLayer in the context of the Incredible Squaring AVS?,5fc9a318,5fc9a318_0
